[INFO][2015-09-24 13:00:44,630][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2015-09-24 13:00:45,450][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[INFO][2015-09-24 13:00:45,722][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2015-09-24 13:00:45,736][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2015-09-24 13:00:46,249][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2015-09-24 13:00:46,249][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2015-09-24 13:00:46,254][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2015-09-24 13:00:46,290][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: test.t_user
[INFO][2015-09-24 13:00:46,290][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id, name, password]
[INFO][2015-09-24 13:00:46,290][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2015-09-24 13:00:46,290][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2015-09-24 13:00:46,292][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2015-09-24 13:00:47,058][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2015-09-24 13:01:09,999][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2015-09-24 13:01:10,179][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2015-09-24 13:01:10,984][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2015-09-24 13:01:10,992][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2015-09-24 13:01:10,995][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2015-09-24 13:01:11,002][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2015-09-24 13:01:11,792][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[INFO][2015-09-24 13:01:12,054][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2015-09-24 13:01:12,064][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2015-09-24 13:01:12,514][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2015-09-24 13:01:12,514][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2015-09-24 13:01:12,520][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2015-09-24 13:01:12,557][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: test.t_user
[INFO][2015-09-24 13:01:12,557][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id, name, password]
[INFO][2015-09-24 13:01:12,557][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2015-09-24 13:01:12,557][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2015-09-24 13:01:12,558][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2015-09-24 13:01:13,128][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[INFO][2015-09-24 13:03:23,178][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2015-09-24 13:03:23,188][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2015-09-24 13:03:23,191][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2015-09-24 13:03:23,201][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2015-09-24 13:03:24,261][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[INFO][2015-09-24 13:03:24,542][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2015-09-24 13:03:24,551][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2015-09-24 13:03:24,993][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2015-09-24 13:03:24,994][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2015-09-24 13:03:25,034][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2015-09-24 13:03:25,149][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: test.t_user
[INFO][2015-09-24 13:03:25,150][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id, name, password]
[INFO][2015-09-24 13:03:25,150][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2015-09-24 13:03:25,150][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2015-09-24 13:03:25,152][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2015-09-24 13:09:09,875][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2015-09-24 13:09:09,886][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2015-09-24 13:09:09,890][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2015-09-24 13:09:09,896][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2015-09-24 13:09:10,660][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[INFO][2015-09-24 13:09:10,909][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2015-09-24 13:09:10,920][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2015-09-24 13:09:11,356][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2015-09-24 13:09:11,356][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2015-09-24 13:09:11,409][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2015-09-24 13:09:11,527][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: test.t_user
[INFO][2015-09-24 13:09:11,527][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id, name, password]
[INFO][2015-09-24 13:09:11,529][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2015-09-24 13:09:11,529][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2015-09-24 13:09:11,530][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2015-09-24 13:13:01,761][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2015-09-24 13:13:01,774][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2015-09-24 13:13:01,777][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2015-09-24 13:13:01,782][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2015-09-24 13:13:02,603][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[INFO][2015-09-24 13:13:02,871][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2015-09-24 13:13:02,882][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2015-09-24 13:13:03,322][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2015-09-24 13:13:03,323][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2015-09-24 13:13:03,360][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2015-09-24 13:13:03,489][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: test.t_user
[INFO][2015-09-24 13:13:03,490][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id, name, password]
[INFO][2015-09-24 13:13:03,490][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2015-09-24 13:13:03,490][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2015-09-24 13:13:03,492][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[ERROR][2015-09-24 13:13:04,162][org.hibernate.hql.internal.ast.ErrorCounter]line 1:8: expecting "into", found 't_user'
[ERROR][2015-09-24 13:13:04,164][org.hibernate.hql.internal.ast.ErrorCounter]line 1:8: expecting "into", found 't_user'
line 1:8: expecting "into", found 't_user'
	at antlr.Parser.match(Parser.java:211)
	at org.hibernate.hql.internal.antlr.HqlBaseParser.intoClause(HqlBaseParser.java:785)
	at org.hibernate.hql.internal.antlr.HqlBaseParser.insertStatement(HqlBaseParser.java:324)
	at org.hibernate.hql.internal.antlr.HqlBaseParser.statement(HqlBaseParser.java:163)
	at org.hibernate.hql.internal.ast.QueryTranslatorImpl.parse(QueryTranslatorImpl.java:267)
	at org.hibernate.hql.internal.ast.QueryTranslatorImpl.doCompile(QueryTranslatorImpl.java:181)
	at org.hibernate.hql.internal.ast.QueryTranslatorImpl.compile(QueryTranslatorImpl.java:137)
	at org.hibernate.engine.query.spi.HQLQueryPlan.<init>(HQLQueryPlan.java:105)
	at org.hibernate.engine.query.spi.HQLQueryPlan.<init>(HQLQueryPlan.java:80)
	at org.hibernate.engine.query.spi.QueryPlanCache.getHQLQueryPlan(QueryPlanCache.java:168)
	at org.hibernate.internal.AbstractSessionImpl.getHQLQueryPlan(AbstractSessionImpl.java:221)
	at org.hibernate.internal.AbstractSessionImpl.createQuery(AbstractSessionImpl.java:199)
	at org.hibernate.internal.SessionImpl.createQuery(SessionImpl.java:1778)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
	at java.lang.reflect.Method.invoke(Method.java:597)
	at org.springframework.orm.hibernate4.HibernateTemplate$CloseSuppressingInvocationHandler.invoke(HibernateTemplate.java:1251)
	at $Proxy27.createQuery(Unknown Source)
	at com.feng.dao.impl.UserDaoImpl$1.doInHibernate(UserDaoImpl.java:29)
	at org.springframework.orm.hibernate4.HibernateTemplate.doExecute(HibernateTemplate.java:340)
	at org.springframework.orm.hibernate4.HibernateTemplate.execute(HibernateTemplate.java:295)
	at com.feng.dao.impl.UserDaoImpl.saveUser(UserDaoImpl.java:24)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
	at java.lang.reflect.Method.invoke(Method.java:597)
	at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:317)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ReflectiveMethodInvocation.java:190)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:157)
	at org.springframework.transaction.interceptor.TransactionInterceptor$1.proceedWithInvocation(TransactionInterceptor.java:98)
	at org.springframework.transaction.interceptor.TransactionAspectSupport.invokeWithinTransaction(TransactionAspectSupport.java:262)
	at org.springframework.transaction.interceptor.TransactionInterceptor.invoke(TransactionInterceptor.java:95)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:179)
	at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:92)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:179)
	at org.springframework.aop.framework.JdkDynamicAopProxy.invoke(JdkDynamicAopProxy.java:207)
	at $Proxy25.saveUser(Unknown Source)
	at com.feng.dao.impl.UserDaoTest.addTest(UserDaoTest.java:32)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
	at java.lang.reflect.Method.invoke(Method.java:597)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
